hd,jcd,rno,waku,toban,grade,localWin,motor2
20250723,12,11,4,4273,B1,4.08,41.94
20250723,12,11,5,4960,A2,6.00,43.75
20250723,12,11,6,4570,A1,6.46,45.16
20250723,12,12,1,4959,A1,6.73,31.25
20250723,12,12,2,4540,B1,5.89,31.82
20250723,12,12,3,4526,A2,7.17,35.48
20250723,12,12,4,4361,A1,6.76,39.39
20250723,12,12,5,5126,A2,4.43,42.42
20250723,12,12,6,5002,A1,0.00,49.09
20250723,22,1,1,4052,A1,0.00,34.52
20250723,22,1,2,3578,B1,4.43,8.89
20250723,22,1,3,3989,B1,4.70,32.05
20250723,22,1,4,5033,B1,5.10,21.54
20250723,22,1,5,5263,B2,3.41,28.57
20250723,22,1,6,5369,B2,1.38,38.57
20250723,22,2,1,4060,B1,4.72,30.93
20250723,22,2,2,5298,B1,3.50,29.33
20250723,22,2,3,4498,B1,5.51,14.49
20250723,22,2,4,4950,B1,5.50,36.76
20250723,22,2,5,3882,B1,4.86,30.21
20250723,22,2,6,5063,B1,5.11,43.42
20250723,22,3,1,4969,B1,4.80,31.18
20250723,22,3,2,3587,B1,4.40,38.94
20250723,22,3,3,4074,A1,5.40,23.53
20250723,22,3,4,3701,B1,3.36,29.73
20250723,22,3,5,4789,B1,0.00,32.69
20250723,22,3,6,3567,B1,4.49,34.38
20250723,22,4,1,5178,B1,4.00,16.67
20250723,22,4,2,4944,B1,4.67,33.70
20250723,22,4,3,4241,A2,5.12,36.36
20250723,22,4,4,4319,A2,5.74,23.88
20250723,22,4,5,4051,A1,6.65,31.65
20250723,22,4,6,4010,B2,3.35,31.17
20250723,22,5,1,4007,B1,4.91,12.31
20250723,22,5,2,5263,B2,3.41,28.57
20250723,22,5,3,5262,B1,4.15,31.68
20250723,22,5,4,4887,A2,3.80,30.67
20250723,22,5,5,4603,A2,4.95,25.56
20250723,22,5,6,4677,A1,6.91,21.79
20250723,22,6,1,5033,B1,5.10,21.54
20250723,22,6,2,4736,A2,6.57,36.14
20250723,22,6,3,5063,B1,5.11,43.42
20250723,22,6,4,4027,A2,6.02,28.71
20250723,22,6,5,5065,B1,4.74,29.89
